A2M ENSG00000175899
CCR5 ENSG00000160791
CCR6 ENSG00000112486
CCR7 ENSG00000126353
CCR8 ENSG00000179934
CCR9 ENSG00000173585
CCRL2 ENSG00000121797
CD14 ENSG00000170458
CD151 ENSG00000177697
CD160 ENSG00000117281
CD163 ENSG00000177575
CD177 ENSG00000204936
CD180 ENSG00000134061
CD19 ENSG00000177455
CD1A ENSG00000158477
CD1B ENSG00000158485
CD1D ENSG00000158473
CD2 ENSG00000116824
CD200 ENSG00000091972
CD200R1 ENSG00000163606
CD200R1L ENSG00000206531
CD209 ENSG00000090659
CD22 ENSG00000012124
CD226 ENSG00000150637
CD24 ENSG00000272398
CD244 ENSG00000122223
CD248 ENSG00000174807
CD27 ENSG00000139193
CD274 ENSG00000120217
CD28 ENSG00000178562
CD300LB ENSG00000178789
CD320 ENSG00000167775
CD33 ENSG00000105383
CD34 ENSG00000174059
CD36 ENSG00000135218
CD38 ENSG00000004468
CD4 ENSG00000010610
CD40 ENSG00000101017
CD40LG ENSG00000102245
CD44 ENSG00000026508
CD46 ENSG00000117335
CD47 ENSG00000196776
CD48 ENSG00000117091
CD5 ENSG00000110448
CD52 ENSG00000169442
CD53 ENSG00000143119
CD55 ENSG00000196352
CD58 ENSG00000116815
CD59 ENSG00000085063
CD5L ENSG00000073754
CD6 ENSG00000013725
CD63 ENSG00000135404
CD69 ENSG00000110848
CD7 ENSG00000173762
CD70 ENSG00000125726
CD72 ENSG00000137101
CD74 ENSG00000019582
CD79A ENSG00000105369
CD80 ENSG00000121594
CD81 ENSG00000110651
CD82 ENSG00000085117
CD84 ENSG00000066294
CD86 ENSG00000114013
CD8A ENSG00000153563
CD9 ENSG00000010278
CD93 ENSG00000125810
CD96 ENSG00000153283
CD99 ENSG00000002586
CDH1 ENSG00000039068
CDH7 ENSG00000081138
CDON ENSG00000064309
CEACAM1 ENSG00000079385
CEACAM5 ENSG00000105388
CEACAM6 ENSG00000086548
CEACAM8 ENSG00000124469
CEL ENSG00000170835
CFC1 ENSG00000136698
CFC1B ENSG00000152093
CFH ENSG00000000971
CFP ENSG00000126759
CFTR ENSG00000001626
CGA ENSG00000135346
CGB3 ENSG00000104827
CGN ENSG00000143375
CHAD ENSG00000136457
CHL1 ENSG00000134121
CHRM3 ENSG00000133019
CHRNA7 ENSG00000175344
CIRBP ENSG00000099622
CKAP4 ENSG00000136026
CLCF1 ENSG00000175505
CLEC11A ENSG00000105472
CLEC14A ENSG00000176435
CLEC1B ENSG00000165682
CLEC2A ENSG00000188393
CLEC2B ENSG00000110852
CLEC2D ENSG00000069493
CLEC4G ENSG00000182566
CLEC4M ENSG00000104938
CMKLR1 ENSG00000174600
CNR1 ENSG00000118432
CNTF ENSG00000242689
CNTFR ENSG00000122756
CNTN1 ENSG00000018236
CNTN2 ENSG00000184144
CNTN4 ENSG00000144619
CNTN6 ENSG00000134115
CNTNAP1 ENSG00000108797
CNTNAP2 ENSG00000174469
COL11A1 ENSG00000060718
COL13A1 ENSG00000197467
COL14A1 ENSG00000187955
COL18A1 ENSG00000182871
COL1A1 ENSG00000108821
COL1A2 ENSG00000164692
COL2A1 ENSG00000139219
COL3A1 ENSG00000168542
COL4A1 ENSG00000187498
COL4A2 ENSG00000134871
COL4A3 ENSG00000169031
COL4A5 ENSG00000188153
COL4A6 ENSG00000197565
COL5A1 ENSG00000130635
COL5A2 ENSG00000204262
COL5A3 ENSG00000080573
COL8A1 ENSG00000144810
COL9A1 ENSG00000112280
COL9A2 ENSG00000049089
COL9A3 ENSG00000092758
COLQ ENSG00000206561
COMP ENSG00000105664
CORT ENSG00000241563
CP ENSG00000047457
CPAMD8 ENSG00000160111
CR1 ENSG00000203710
CR2 ENSG00000117322
CRH ENSG00000147571
CRHR1 ENSG00000120088
CRHR2 ENSG00000106113
CRLF1 ENSG00000006016
CRLF2 ENSG00000205755
CRLF3 ENSG00000176390
CRP ENSG00000132693
CRTAM ENSG00000109943
CSF1 ENSG00000184371
CSF1R ENSG00000182578
CSF2 ENSG00000164400
CSF2RA ENSG00000198223
CSF2RB ENSG00000100368
CSF3 ENSG00000108342
CSF3R ENSG00000119535
CSH1 ENSG00000136488
CSPG4 ENSG00000173546
CTF1 ENSG00000150281
CTHRC1 ENSG00000164932
CTLA4 ENSG00000163599
CX3CL1 ENSG00000006210
CX3CR1 ENSG00000168329
CXADR ENSG00000154639
CXCL1 ENSG00000163739
CXCL10 ENSG00000169245
CXCL11 ENSG00000169248
CXCL12 ENSG00000107562
CXCL13 ENSG00000156234
CXCL14 ENSG00000145824
CXCL16 ENSG00000161921
CXCL17 ENSG00000189377
CXCL2 ENSG00000081041
CXCL3 ENSG00000163734
CXCL5 ENSG00000163735
CXCL6 ENSG00000124875
CXCL8 ENSG00000169429
CXCL9 ENSG00000138755
CXCR1 ENSG00000163464
CXCR2 ENSG00000180871
CXCR3 ENSG00000186810
CXCR4 ENSG00000121966
CXCR5 ENSG00000160683
CXCR6 ENSG00000172215
CYTL1 ENSG00000170891
DAG1 ENSG00000173402
DCBLD2 ENSG00000057019
DCC ENSG00000187323
DCHS1 ENSG00000166341
DCN ENSG00000011465
DDR1 ENSG00000204580
DDR2 ENSG00000162733
DEFB1 ENSG00000164825
DEFB103A ENSG00000176797
DEFB103B ENSG00000177243
DEFB106A ENSG00000186579
DEFB4A ENSG00000171711
DEFB4B ENSG00000177257
DHH ENSG00000139549
DIP2A ENSG00000160305
DKK1 ENSG00000107984
DKK2 ENSG00000155011
DKK4 ENSG00000104371
DLK1 ENSG00000185559
DLK2 ENSG00000171462
DLL1 ENSG00000198719
DLL3 ENSG00000090932
DLL4 ENSG00000128917
DNAJB11 ENSG00000090520
DPP4 ENSG00000197635
DSC1 ENSG00000134765
DSC2 ENSG00000134755
DSC3 ENSG00000134762
DSG1 ENSG00000134760
DSG2 ENSG00000046604
DSG3 ENSG00000134757
DSG4 ENSG00000175065
DSPP ENSG00000152591
DYSF ENSG00000135636
EBI3 ENSG00000105246
ECM1 ENSG00000143369
EDA ENSG00000158813
EDA2R ENSG00000131080
EDAR ENSG00000135960
EDIL3 ENSG00000164176
EDN1 ENSG00000078401
EDN2 ENSG00000127129
EDN3 ENSG00000124205
EDNRA ENSG00000151617
EDNRB ENSG00000136160
EFEMP1 ENSG00000115380
EFNA1 ENSG00000169242
EFNA2 ENSG00000099617
EFNA3 ENSG00000143590
EFNA4 ENSG00000243364
EFNA5 ENSG00000184349
EFNB1 ENSG00000090776
EFNB2 ENSG00000125266
EFNB3 ENSG00000108947
EGF ENSG00000138798
EGFR ENSG00000146648
ENAM ENSG00000132464
ENG ENSG00000106991
ENHO ENSG00000168913
ENO1 ENSG00000074800
EPCAM ENSG00000119888
EPGN ENSG00000182585
EPHA1 ENSG00000146904
EPHA2 ENSG00000142627
EPHA3 ENSG00000044524
EPHA4 ENSG00000116106
EPHA5 ENSG00000145242
EPHA6 ENSG00000080224
EPHA7 ENSG00000135333
EPHA8 ENSG00000070886
EPHB1 ENSG00000154928
EPHB2 ENSG00000133216
EPHB3 ENSG00000182580
EPHB4 ENSG00000196411
EPHB6 ENSG00000106123
EPO ENSG00000130427
EPOR ENSG00000187266
ERBB2 ENSG00000141736
ERBB3 ENSG00000065361
ERBB4 ENSG00000178568
EREG ENSG00000124882
F10 ENSG00000126218
F11 ENSG00000088926
F11R ENSG00000158769
F12 ENSG00000131187
F13A1 ENSG00000124491
F2 ENSG00000180210
F2R ENSG00000181104
F2RL1 ENSG00000164251
F2RL2 ENSG00000164220
F2RL3 ENSG00000127533
F3 ENSG00000117525
F7 ENSG00000057593
F8 ENSG00000185010
F9 ENSG00000101981
FAM3C ENSG00000196937
FAM3D ENSG00000198643
FAP ENSG00000078098
FAS ENSG00000026103
FASLG ENSG00000117560
FAT4 ENSG00000196159
FBLN1 ENSG00000077942
FBN1 ENSG00000166147
FCER2 ENSG00000104921
FCGR1A ENSG00000150337
FCN2 ENSG00000160339
FGA ENSG00000171560
FGB ENSG00000171564
FGF1 ENSG00000113578
FGF10 ENSG00000070193
FGF13 ENSG00000129682
FGF16 ENSG00000196468
FGF17 ENSG00000158815
FGF18 ENSG00000156427
FGF19 ENSG00000162344
FGF2 ENSG00000138685
FGF20 ENSG00000078579
FGF21 ENSG00000105550
FGF22 ENSG00000070388
FGF23 ENSG00000118972
FGF3 ENSG00000186895
FGF4 ENSG00000075388
FGF5 ENSG00000138675
FGF6 ENSG00000111241
FGF7 ENSG00000140285
FGF8 ENSG00000107831
FGF9 ENSG00000102678
FGFR1 ENSG00000077782
FGFR2 ENSG00000066468
FGFR3 ENSG00000068078
FGFR4 ENSG00000160867
FGFRL1 ENSG00000127418
FGG ENSG00000171557
FGL1 ENSG00000104760
FLOT1 ENSG00000137312
FLT1 ENSG00000102755
FLT3 ENSG00000122025
FLT3LG ENSG00000090554
FLT4 ENSG00000037280
FN1 ENSG00000115414
FNDC5 ENSG00000160097
FPR1 ENSG00000171051
FPR2 ENSG00000171049
FPR3 ENSG00000187474
FSHB ENSG00000131808
FSHR ENSG00000170820
FSTL1 ENSG00000163430
FZD1 ENSG00000157240
FZD10 ENSG00000111432
FZD2 ENSG00000180340
FZD3 ENSG00000104290
FZD4 ENSG00000174804
FZD5 ENSG00000163251
FZD6 ENSG00000164930
FZD7 ENSG00000155760
FZD8 ENSG00000177283
FZD9 ENSG00000188763
GAL ENSG00000069482
GALP ENSG00000197487
GALR1 ENSG00000166573
GALR2 ENSG00000182687
GALR3 ENSG00000128310
GAS1 ENSG00000180447
GAS6 ENSG00000183087
GAST ENSG00000184502
GCG ENSG00000115263
GCGR ENSG00000215644
GDF1 ENSG00000130283
GDF11 ENSG00000135414
GDF15 ENSG00000130513
GDF2 ENSG00000263761
GDF3 ENSG00000184344
GDF5 ENSG00000125965
GDF6 ENSG00000156466
GDF7 ENSG00000143869
GDF9 ENSG00000164404
GDNF ENSG00000168621
GFRA1 ENSG00000151892
GFRA2 ENSG00000168546
GFRA3 ENSG00000146013
GFRA4 ENSG00000125861
GFRAL ENSG00000187871
GH1 ENSG00000259384
GH2 ENSG00000136487
GHR ENSG00000112964
GHRH ENSG00000118702
GHRHR ENSG00000106128
GHRL ENSG00000157017
GHSR ENSG00000121853
GIP ENSG00000159224
GIPR ENSG00000010310
GLG1 ENSG00000090863
GLP1R ENSG00000112164
GLP2R ENSG00000065325
GNAI2 ENSG00000114353
GNAS ENSG00000087460
GNRH1 ENSG00000147437
GNRH2 ENSG00000125787
GNRHR ENSG00000109163
GP1BA ENSG00000185245
GP6 ENSG00000088053
GP9 ENSG00000169704
GPC1 ENSG00000063660
GPC3 ENSG00000147257
GPC4 ENSG00000076716
GPC5 ENSG00000179399
GPHA2 ENSG00000149735
GPHB5 ENSG00000179600
GPI ENSG00000105220
GPIHBP1 ENSG00000277494
GPR1 ENSG00000183671
GPR135 ENSG00000181619
GPR151 ENSG00000173250
GPR19 ENSG00000183150
GPR35 ENSG00000178623
GPR37 ENSG00000170775
GPR37L1 ENSG00000170075
GPR39 ENSG00000183840
GPR75 ENSG00000119737
GREM1 ENSG00000166923
GRIN2D ENSG00000105464
GRM1 ENSG00000152822
GRM5 ENSG00000168959
GRN ENSG00000030582
GRP ENSG00000134443
GRPR ENSG00000126010
GUCA2A ENSG00000197273
GUCA2B ENSG00000044012
GUCY2C ENSG00000070019
GUCY2D ENSG00000132518
GZMB ENSG00000100453
HAS2 ENSG00000170961
HAVCR1 ENSG00000113249
HAVCR2 ENSG00000135077
HBEGF ENSG00000113070
HCRT ENSG00000161610
HCRTR1 ENSG00000121764
HCRTR2 ENSG00000137252
HEBP1 ENSG00000013583
HGF ENSG00000019991
HHIP ENSG00000164161
HHLA2 ENSG00000114455
HJV ENSG00000168509
HLA-A ENSG00000206503
HLA-B ENSG00000234745
HLA-C ENSG00000204525
HLA-E ENSG00000204592
HLA-F ENSG00000204642
HLA-G ENSG00000204632
HMGB1 ENSG00000189403
HMMR ENSG00000072571
HP ENSG00000257017
HRAS ENSG00000174775
HRG ENSG00000113905
HRH4 ENSG00000134489
HSP90AA1 ENSG00000080824
HSPG2 ENSG00000142798
HTR2C ENSG00000147246
IAPP ENSG00000121351
ICAM1 ENSG00000090339
ICAM2 ENSG00000108622
ICAM3 ENSG00000076662
ICAM4 ENSG00000105371
ICAM5 ENSG00000105376
ICOS ENSG00000163600
ICOSLG ENSG00000160223
IFNA1 ENSG00000197919
IFNA10 ENSG00000186803
IFNA13 ENSG00000233816
IFNA14 ENSG00000228083
IFNA16 ENSG00000147885
IFNA17 ENSG00000234829
IFNA2 ENSG00000188379
IFNA21 ENSG00000137080
IFNA4 ENSG00000236637
IFNA5 ENSG00000147873
IFNA6 ENSG00000120235
IFNA7 ENSG00000214042
IFNA8 ENSG00000120242
IFNAR1 ENSG00000142166
IFNAR2 ENSG00000159110
IFNB1 ENSG00000171855
IFNE ENSG00000184995
IFNG ENSG00000111537
IFNGR1 ENSG00000027697
IFNGR2 ENSG00000159128
IFNK ENSG00000147896
IFNL1 ENSG00000182393
IFNL2 ENSG00000183709
IFNL3 ENSG00000197110
IFNL4 ENSG00000272395
IFNLR1 ENSG00000185436
IFNW1 ENSG00000177047
IGF1 ENSG00000017427
IGF1R ENSG00000140443
IGF2 ENSG00000167244
IGF2R ENSG00000197081
IGFBP4 ENSG00000141753
IGFL1 ENSG00000188293
IGFL2 ENSG00000204866
IGFL3 ENSG00000188624
IGFLR1 ENSG00000126246
IGSF11 ENSG00000144847
IHH ENSG00000163501
IL10 ENSG00000136634
IL10RA ENSG00000110324
IL10RB ENSG00000243646
IL11 ENSG00000095752
IL11RA ENSG00000137070
IL12A ENSG00000168811
IL12B ENSG00000113302
IL12RB1 ENSG00000096996
IL12RB2 ENSG00000081985
IL13 ENSG00000169194
IL13RA1 ENSG00000131724
IL13RA2 ENSG00000123496
IL15 ENSG00000164136
IL15RA ENSG00000134470
IL16 ENSG00000172349
IL17A ENSG00000112115
IL17B ENSG00000127743
IL17C ENSG00000124391
IL17F ENSG00000112116
IL17RA ENSG00000177663
IL17RB ENSG00000056736
IL17RC ENSG00000163702
IL17RE ENSG00000163701
IL18 ENSG00000150782
IL18R1 ENSG00000115604
IL18RAP ENSG00000115607
IL19 ENSG00000142224
IL1A ENSG00000115008
IL1B ENSG00000125538
IL1F10 ENSG00000136697
IL1R1 ENSG00000115594
IL1R2 ENSG00000115590
IL1RAP ENSG00000196083
IL1RAPL1 ENSG00000169306
IL1RL1 ENSG00000115602
IL1RL2 ENSG00000115598
IL1RN ENSG00000136689
IL2 ENSG00000109471
IL20 ENSG00000162891
IL20RA ENSG00000016402
IL20RB ENSG00000174564
IL21 ENSG00000138684
IL21R ENSG00000103522
IL22 ENSG00000127318
IL22RA1 ENSG00000142677
IL22RA2 ENSG00000164485
IL23A ENSG00000110944
IL23R ENSG00000162594
IL24 ENSG00000162892
IL25 ENSG00000166090
IL26 ENSG00000111536
IL27 ENSG00000197272
IL27RA ENSG00000104998
IL2RA ENSG00000134460
IL2RB ENSG00000100385
IL2RG ENSG00000147168
IL3 ENSG00000164399
IL31 ENSG00000204671
IL31RA ENSG00000164509
IL32 ENSG00000008517
IL33 ENSG00000137033
IL34 ENSG00000157368
IL36A ENSG00000136694
IL36RN ENSG00000136695
IL3RA ENSG00000185291
IL4 ENSG00000113520
IL4R ENSG00000077238
IL5 ENSG00000113525
IL5RA ENSG00000091181
IL6 ENSG00000136244
IL6R ENSG00000160712
IL6ST ENSG00000134352
IL7 ENSG00000104432
IL7R ENSG00000168685
IL9 ENSG00000145839
IL9R ENSG00000124334
INHA ENSG00000123999
INHBA ENSG00000122641
INHBB ENSG00000163083
INHBC ENSG00000175189
INS ENSG00000254647
INSL3 ENSG00000248099
INSL5 ENSG00000172410
INSR ENSG00000171105
ITGA1 ENSG00000213949
ITGA10 ENSG00000143127
ITGA11 ENSG00000137809
ITGA2 ENSG00000164171
ITGA2B ENSG00000005961
ITGA3 ENSG00000005884
ITGA4 ENSG00000115232
ITGA5 ENSG00000161638
ITGA6 ENSG00000091409
ITGA7 ENSG00000135424
ITGA8 ENSG00000077943
ITGA9 ENSG00000144668
ITGAD ENSG00000156886
ITGAE ENSG00000083457
ITGAL ENSG00000005844
ITGAM ENSG00000169896
ITGAV ENSG00000138448
ITGAX ENSG00000140678
ITGB1 ENSG00000150093
ITGB2 ENSG00000160255
ITGB3 ENSG00000259207
ITGB4 ENSG00000132470
ITGB5 ENSG00000082781
ITGB6 ENSG00000115221
ITGB7 ENSG00000139626
ITGB8 ENSG00000105855
JAG1 ENSG00000101384
JAG2 ENSG00000184916
JAM2 ENSG00000154721
JAM3 ENSG00000166086
JAML ENSG00000160593
JMJD6 ENSG00000070495
KCNJ10 ENSG00000177807
KCNJ15 ENSG00000157551
KDR ENSG00000128052
KEL ENSG00000197993
KIR2DL1 ENSG00000125498
KIR2DL3 ENSG00000243772
KIR2DL4 ENSG00000189013
KIR2DS4 ENSG00000221957
KIR3DL1 ENSG00000167633
KIR3DL2 ENSG00000240403
KIR3DS1 ENSG00000275434
KISS1 ENSG00000170498
KISS1R ENSG00000116014
KIT ENSG00000157404
KITLG ENSG00000049130
KL ENSG00000133116
KLB ENSG00000134962
KLRB1 ENSG00000111796
KLRC1 ENSG00000134545
KLRC2 ENSG00000205809
KLRD1 ENSG00000134539
KLRF1 ENSG00000150045
KLRF2 ENSG00000256797
KLRG1 ENSG00000139187
KLRK1 ENSG00000213809
KMT2E ENSG00000005483
KNG1 ENSG00000113889
KREMEN1 ENSG00000183762
KREMEN2 ENSG00000131650
L1CAM ENSG00000198910
LACRT ENSG00000135413
LAG3 ENSG00000089692
LAIR1 ENSG00000167613
LAMA1 ENSG00000101680
LAMA2 ENSG00000196569
LAMA3 ENSG00000053747
LAMA4 ENSG00000112769
LAMA5 ENSG00000130702
LAMB1 ENSG00000091136
LAMB2 ENSG00000172037
LAMC2 ENSG00000058085
LAMP1 ENSG00000185896
LAMP2 ENSG00000005893
LCN1 ENSG00000160349
LCN2 ENSG00000148346
LDLR ENSG00000130164
LEAP2 ENSG00000164406
LEFTY2 ENSG00000143768
LEP ENSG00000174697
LEPR ENSG00000116678
LGALS1 ENSG00000100097
LGALS3 ENSG00000131981
LGALS3BP ENSG00000108679
LGALS9 ENSG00000168961
LGI1 ENSG00000108231
LGI2 ENSG00000153012
LGI3 ENSG00000168481
LGI4 ENSG00000153902
LGR4 ENSG00000205213
LGR5 ENSG00000139292
LGR6 ENSG00000133067
LHB ENSG00000104826
LHCGR ENSG00000138039
LIF ENSG00000128342
LIFR ENSG00000113594
LILRA4 ENSG00000239961
LILRB1 ENSG00000104972
LILRB2 ENSG00000131042
LILRB4 ENSG00000186818
LIN7C ENSG00000148943
LINGO1 ENSG00000169783
LIPC ENSG00000166035
LIPH ENSG00000163898
LMBR1L ENSG00000139636
LPA ENSG00000198670
LPAR1 ENSG00000198121
LPAR2 ENSG00000064547
LPAR3 ENSG00000171517
LPAR4 ENSG00000147145
LPL ENSG00000175445
LRFN3 ENSG00000126243
LRFN5 ENSG00000165379
LRP1 ENSG00000123384
LRP11 ENSG00000120256
LRP2 ENSG00000081479
LRP4 ENSG00000134569
LRP5 ENSG00000162337
LRP6 ENSG00000070018
LRP8 ENSG00000157193
LRPAP1 ENSG00000163956
LRRC4 ENSG00000128594
LRRC4B ENSG00000131409
LRRC4C ENSG00000148948
LSR ENSG00000105699
LTA ENSG00000226979
LTB ENSG00000227507
LTBP1 ENSG00000049323
LTBP3 ENSG00000168056
LTBR ENSG00000111321
LTF ENSG00000012223
LTK ENSG00000062524
LY86 ENSG00000112799
LY9 ENSG00000122224
MADCAM1 ENSG00000099866
MAG ENSG00000105695
MARCO ENSG00000019169
MAS1 ENSG00000130368
MATN1 ENSG00000162510
MBL2 ENSG00000165471
MC1R ENSG00000258839
MC2R ENSG00000185231
MC3R ENSG00000124089
MC4R ENSG00000166603
MC5R ENSG00000176136
MCAM ENSG00000076706
MCHR1 ENSG00000128285
MCHR2 ENSG00000152034
MDK ENSG00000110492
MELTF ENSG00000163975
MEPE ENSG00000152595
MERTK ENSG00000153208
MET ENSG00000105976
MFGE8 ENSG00000140545
MFNG ENSG00000100060
MIA ENSG00000261857
MICA ENSG00000204520
MICB ENSG00000204516
MIF ENSG00000240972
MLN ENSG00000096395
MLNR ENSG00000102539
MMP1 ENSG00000196611
MMP12 ENSG00000262406
MMP13 ENSG00000137745
MMP2 ENSG00000087245
MMP24 ENSG00000125966
MMP7 ENSG00000137673
MMP9 ENSG00000100985
MMRN2 ENSG00000173269
MPL ENSG00000117400
MRC1 ENSG00000260314
MRGPRX1 ENSG00000170255
MRGPRX2 ENSG00000183695
MSMP ENSG00000215183
MST1 ENSG00000173531
MST1R ENSG00000164078
MSTN ENSG00000138379
MTNR1A ENSG00000168412
MTNR1B ENSG00000134640
MUC1 ENSG00000185499
MUC2 ENSG00000198788
MUC7 ENSG00000171195
MUSK ENSG00000030304
MYL9 ENSG00000101335
MYOC ENSG00000034971
NAMPT ENSG00000105835
NCAM1 ENSG00000149294
NCR1 ENSG00000189430
NCR2 ENSG00000096264
NCR3 ENSG00000204475
NCR3LG1 ENSG00000188211
NCSTN ENSG00000162736
NDP ENSG00000124479
NECTIN1 ENSG00000110400
NECTIN2 ENSG00000130202
NECTIN3 ENSG00000177707
NECTIN4 ENSG00000143217
NELL2 ENSG00000184613
NEO1 ENSG00000067141
NGF ENSG00000134259
NGFR ENSG00000064300
NID1 ENSG00000116962
NID2 ENSG00000087303
NLGN1 ENSG00000169760
NLGN2 ENSG00000169992
NLGN3 ENSG00000196338
NLGN4X ENSG00000146938
NMB ENSG00000197696
NMBR ENSG00000135577
NMS ENSG00000204640
NMU ENSG00000109255
NMUR1 ENSG00000171596
NMUR2 ENSG00000132911
NODAL ENSG00000156574
NOTCH1 ENSG00000148400
NOTCH2 ENSG00000134250
NOTCH3 ENSG00000074181
NOTCH4 ENSG00000204301
NPB ENSG00000183979
NPBWR1 ENSG00000183729
NPBWR2 ENSG00000125522
NPFF ENSG00000139574
NPFFR1 ENSG00000148734
NPFFR2 ENSG00000056291
NPNT ENSG00000168743
NPPA ENSG00000175206
NPPB ENSG00000120937
NPPC ENSG00000163273
NPR1 ENSG00000169418
NPR2 ENSG00000159899
NPR3 ENSG00000113389
NPS ENSG00000214285
NPSR1 ENSG00000187258
NPVF ENSG00000105954
NPW ENSG00000183971
NPY ENSG00000122585
NPY1R ENSG00000164128
NPY2R ENSG00000185149
NPY4R ENSG00000204174
NPY5R ENSG00000164129
